"local";"rh";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"clay_0_30cm";"npp";"ocd_clay_0_30cm";"ocs_clay_0_30cm";"ocs_sand_0_30cm";"sand_0_30cm";"soc_clay_0_30cm";"soc_sand_0_30cm"
161;177;2,54999995231628;20,75;-18,4500007629395;549,900024414062;148,5;3,40000009536743;107;372,700012207031;12,6999998092651;372,700012207031;12,6999998092651;10,6999998092651;20;1519,19995117188;26,0499992370605;-27,4500007629395;53,5;20,75;-18,4500007629395;314,666656494141;800;1,15995764732361;0,238347470760345;0,248893797397614;301,333343505859;0,99152547121048;1,03539824485779
325;140;5,55000019073486;17,75;-6,84999990463257;627,200012207031;79;30;30,7999992370605;223,899993896484;100,400001525879;223,899993896484;120,599998474121;6,90000009536743;20,3999996185303;961,400024414062;23,0499992370605;-10,75;33,7999992370605;17,75;-0,850000023841858;274,666656494141;991,900024414062;1,21723306179047;0,207524284720421;0,185869574546814;306,666656494141;2,18567967414856;1,95760869979858
346;136;-1,85000002384186;9,75;-13,1499996185303;537,099975585938;112,099998474121;2,40000009536743;93,3000030517578;315,600006103516;10,1000003814697;315,600006103516;11;13,6999998092651;35,4000015258789;915,799987792969;16,0499992370605;-22,75;38,7999992370605;9,75;-12,75;234,66667175293;531,700012207031;1,35795450210571;0,298295438289642;0,193726927042007;361,333343505859;1,91193175315857;1,24169731140137
59;164;-1,35000002384186;16,3500003814697;-18,25;493;102,300003051758;11,8000001907349;68,1999969482422;255,5;46,4000015258789;255,5;69,3000030517578;8,5;18,8999996185303;1386,59997558594;22,4500007629395;-22,4500007629395;44,9000015258789;16,3500003814697;-9,05000019073486;149,66667175293;558,299987792969;2,084632396698;0,374164789915085;0,206388205289841;271,333343505859;5,0534520149231;2,78746914863586
174;178,3;-0,0500000007450581;17,3500003814697;-19,3500003814697;779,299987792969;196;6,69999980926514;97,6999969482422;490,700012207031;25,8999996185303;490,700012207031;25,8999996185303;10,3999996185303;20,5;1429,09997558594;22,75;-27,9500007629395;50,7000007629395;17,3500003814697;-19,3500003814697;204,33332824707;632;1,87928223609924;0,386623173952103;0,222535207867622;355;3,78140306472778;2,17652583122253
59;172;-1,35000002384186;16,3500003814697;-18,25;493;102,300003051758;11,8000001907349;68,1999969482422;255,5;46,4000015258789;255,5;69,3000030517578;8,5;18,8999996185303;1386,59997558594;22,4500007629395;-22,4500007629395;44,9000015258789;16,3500003814697;-9,05000019073486;149,66667175293;558,299987792969;2,084632396698;0,374164789915085;0,206388205289841;271,333343505859;5,0534520149231;2,78746914863586
335;125;23,9500007629395;30,0499992370605;15,6499996185303;1433,90002441406;461,100006103516;7,30000019073486;126,699996948242;1089,5;63,2000007629395;611,5;98;10,8000001907349;38,9000015258789;574,599975585938;36,5499992370605;8,64999961853027;27,8999996185303;28,1499996185303;16,3500003814697;252;1801,69995117188;1,13624346256256;0,210317462682724;0,148459389805794;357;1,06746029853821;0,753501415252686
285;160;7,55000019073486;14,9499998092651;0,349999994039536;1109,69995117188;109,699996948242;65,4000015258789;12,5;316,5;240,399993896484;288,899993896484;295,399993896484;6,90000009536743;30,2999992370605;573,5;20,0499992370605;-2,75;22,7999992370605;1,54999995231628;3,25;276;1192;1,41425120830536;0,275362312793732;0,416819036006927;182,33332824707;2,34057974815369;3,54296159744263
30;135;17,5499992370605;27,3500003814697;7,34999990463257;336,200012207031;52,0999984741211;11;52,4000015258789;143,800003051758;35,0999984741211;132,300003051758;38,7000007629395;14,3000001907349;42,0999984741211;777,700012207031;34,8499984741211;0,850000023841858;34;26,0499992370605;9,64999961853027;272;580,799987792969;0,5;0,0808823555707932;0,0507302097976208;433,666656494141;0,300245076417923;0,18831667304039
174;167;-0,0500000007450581;17,3500003814697;-19,3500003814697;779,299987792969;196;6,69999980926514;97,6999969482422;490,700012207031;25,8999996185303;490,700012207031;25,8999996185303;10,3999996185303;20,5;1429,09997558594;22,75;-27,9500007629395;50,7000007629395;17,3500003814697;-19,3500003814697;204,33332824707;632;1,87928223609924;0,386623173952103;0,222535207867622;355;3,78140306472778;2,17652583122253
335;142;23,9500007629395;30,0499992370605;15,6499996185303;1433,90002441406;461,100006103516;7,30000019073486;126,699996948242;1089,5;63,2000007629395;611,5;98;10,8000001907349;38,9000015258789;574,599975585938;36,5499992370605;8,64999961853027;27,8999996185303;28,1499996185303;16,3500003814697;252;1801,69995117188;1,13624346256256;0,210317462682724;0,148459389805794;357;1,06746029853821;0,753501415252686
135;244,944;13,25;21,0499992370605;6,05000019073486;937,5;107,300003051758;51,2000007629395;20,7000007629395;287,5;194,100006103516;212,100006103516;196,100006103516;9,89999961853027;37;583,200012207031;27,1499996185303;0,550000011920929;26,6000003814697;18,1499996185303;7,15000009536743;219,33332824707;1353,59997558594;1,62158048152924;0,273556232452393;0,163191303610802;367,666656494141;2,31610941886902;1,38168632984161
342;25;-8,94999980926514;16,4500007629395;-36,25;276;47;7,80000019073486;61,2999992370605;131,199996948242;26,1000003814697;131,199996948242;30;9;14,1000003814697;2067;23,5499992370605;-40,3499984741211;63,9000015258789;16,4500007629395;-19,4500007629395;231,66667175293;254,100006103516;1,69352519512177;0,302158266305923;0,147368416190147;475;4,09784173965454;1,99859642982483
124;226;8,14999961853027;18,9500007629395;-3,84999990463257;408,700012207031;77;3,20000004768372;77,5999984741211;207,399993896484;14;207,399993896484;14,6000003814697;10,8999996185303;30,2000007629395;880,900024414062;24,6499996185303;-11,5500001907349;36,2000007629395;18,9500007629395;-2,45000004768372;196;690,5;1,2687075138092;0,214285716414452;0,171195656061172;245,33332824707;1,16326534748077;0,92934787273407
349;168,2;13,5500001907349;21,1499996185303;6,25;701,200012207031;77,3000030517578;46,4000015258789;15,1999998092651;209,5;154,199996948242;157,199996948242;170;8,80000019073486;35,9000015258789;578,799987792969;26,75;2,25;24,5;15,8500003814697;20,75;291,333343505859;1084,80004882812;0,97139585018158;0,147597253322601;0,182461097836494;235,66667175293;0,886727690696716;1,09618103504181
336;165;23,25;29,3500003814697;15,1499996185303;1501,90002441406;481,600006103516;8;126,400001525879;1138,09997558594;65,8000030517578;643,599975585938;100,800003051758;10,8000001907349;39,0999984741211;565,099975585938;35,75;8,25;27,5;27,4500007629395;15,8500003814697;258,666656494141;1852,69995117188;1,3363401889801;0,282216519117355;0,209569364786148;348,333343505859;1,52190721035004;1,13014352321625
304;170;6,05000019073486;15,9499998092651;-3,15000009536743;651,700012207031;83,0999984741211;34,7999992370605;28,8999996185303;226,800003051758;106,900001525879;226,800003051758;131,699996948242;7;24,6000003814697;741,700012207031;21,8500003814697;-6,55000019073486;28,3999996185303;15,9499998092651;0,449999988079071;228,33332824707;1023,09997558594;1,88905119895935;0,363503664731979;0,237368926405907;349,666656494141;2,91970825195312;1,90657782554626
124;234;8,14999961853027;18,9500007629395;-3,84999990463257;408,700012207031;77;3,20000004768372;77,5999984741211;207,399993896484;14;207,399993896484;14,6000003814697;10,8999996185303;30,2000007629395;880,900024414062;24,6499996185303;-11,5500001907349;36,2000007629395;18,9500007629395;-2,45000004768372;196;690,5;1,2687075138092;0,214285716414452;0,171195656061172;245,33332824707;1,16326534748077;0,92934787273407
150;181;6,84999990463257;19,8500003814697;-7,44999980926514;589,5;165,399993896484;2,70000004768372;104,199996948242;380,899993896484;10,6999998092651;380,899993896484;10,6999998092651;10,5;26,1000003814697;1063,30004882812;24,75;-15,3500003814697;40,0999984741211;19,8500003814697;-7,44999980926514;184;942,799987792969;1,30978262424469;0,39673912525177;0,164909645915031;442,666656494141;1,77536225318909;0,737951815128326
