"local";"rs";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"clay_0_30cm";"npp";"ocd_clay_0_30cm";"ocs_clay_0_30cm";"ocs_sand_0_30cm";"sand_0_30cm";"soc_clay_0_30cm";"soc_sand_0_30cm"
516;668,56;17,4500007629395;27,6499996185303;6,44999980926514;1463,5;213,5;36,5999984741211;46,5;593,599975585938;175,199996948242;557,799987792969;175,199996948242;7,80000019073486;25,3999996185303;821,599975585938;31,5499992370605;0,649999976158142;30,8999996185303;25,8500003814697;6,44999980926514;277;1824,19995117188;1,05294823646545;0,223826721310616;0,25375172495842;244,33332824707;0,833935022354126;0,945429742336273
636;949,87;17,4500007629395;27,1499996185303;7,55000019073486;1661,40002441406;230,399993896484;62,4000015258789;37,9000015258789;616,700012207031;239,800003051758;586,400024414062;239,800003051758;5,19999980926514;18,6000003814697;774;31,0499992370605;3,25;27,7999992370605;27,0499992370605;7,55000019073486;310;1964,09997558594;0,951612889766693;0,148387089371681;0,290526330471039;158,33332824707;0,711827993392944;1,39368426799774
598;1096,36;15,25;25,3500003814697;4,55000019073486;2359,19995117188;431,5;65,6999969482422;50,2999992370605;983,700012207031;280,200012207031;913,799987792969;330,600006103516;7,59999990463257;24,7999992370605;811,700012207031;29,9500007629395;-0,850000023841858;30,7999992370605;23,25;11,0500001907349;265,666656494141;1867,19995117188;1,30614805221558;0,2107904702425;0,147368416190147;380;1,31493103504181;0,91929829120636
598;1320;15,25;25,3500003814697;4,55000019073486;2359,19995117188;431,5;65,6999969482422;50,2999992370605;983,700012207031;280,200012207031;913,799987792969;330,600006103516;7,59999990463257;24,7999992370605;811,700012207031;29,9500007629395;-0,850000023841858;30,7999992370605;23,25;11,0500001907349;265,666656494141;1867,19995117188;1,30614805221558;0,2107904702425;0,147368416190147;380;1,31493103504181;0,91929829120636
598;1412,73;15,25;25,3500003814697;4,55000019073486;2359,19995117188;431,5;65,6999969482422;50,2999992370605;983,700012207031;280,200012207031;913,799987792969;330,600006103516;7,59999990463257;24,7999992370605;811,700012207031;29,9500007629395;-0,850000023841858;30,7999992370605;23,25;11,0500001907349;265,666656494141;1867,19995117188;1,30614805221558;0,2107904702425;0,147368416190147;380;1,31493103504181;0,91929829120636
598;1450,91;15,25;25,3500003814697;4,55000019073486;2359,19995117188;431,5;65,6999969482422;50,2999992370605;983,700012207031;280,200012207031;913,799987792969;330,600006103516;7,59999990463257;24,7999992370605;811,700012207031;29,9500007629395;-0,850000023841858;30,7999992370605;23,25;11,0500001907349;265,666656494141;1867,19995117188;1,30614805221558;0,2107904702425;0,147368416190147;380;1,31493103504181;0,91929829120636
290;850;20,1499996185303;26,3500003814697;13,0500001907349;1326,90002441406;185,699996948242;55;42,5999984741211;543,299987792969;206,399993896484;543,299987792969;239,5;9,80000019073486;41,2000007629395;522,400024414062;32,0499992370605;8,25;23,7999992370605;26,3500003814697;14,0500001907349;NA;1716,69995117188;NA;NA;NA;NA;NA;NA
290;1300;20,1499996185303;26,3500003814697;13,0500001907349;1326,90002441406;185,699996948242;55;42,5999984741211;543,299987792969;206,399993896484;543,299987792969;239,5;9,80000019073486;41,2000007629395;522,400024414062;32,0499992370605;8,25;23,7999992370605;26,3500003814697;14,0500001907349;NA;1716,69995117188;NA;NA;NA;NA;NA;NA
290;1440;20,1499996185303;26,3500003814697;13,0500001907349;1326,90002441406;185,699996948242;55;42,5999984741211;543,299987792969;206,399993896484;543,299987792969;239,5;9,80000019073486;41,2000007629395;522,400024414062;32,0499992370605;8,25;23,7999992370605;26,3500003814697;14,0500001907349;NA;1716,69995117188;NA;NA;NA;NA;NA;NA
1012;470;24,1499996185303;31,9500007629395;14,0500001907349;612,799987792969;159;6,19999980926514;104,300003051758;412,399993896484;27,6000003814697;252,199996948242;53;12,1999998092651;37,5999984741211;705,5;39,1500015258789;6,65000009536743;32,5;29,5499992370605;19,25;255,33332824707;973,299987792969;0,677545726299286;0,117493472993374;0,0782608687877655;383,333343505859;0,343342036008835;0,228695645928383
