"local";"rh";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"npp"
20;134;-2,45000004768372;14,8500003814697;-20,75;555,799987792969;98,9000015258789;20,5;54,5999984741211;250,800003051758;66,5;247;66,5;7,09999990463257;15,3999996185303;1374,09997558594;21,0499992370605;-25,0499992370605;46,0999984741211;13,4499998092651;-20,75;501,200012207031
156;83;-10,25;12,1499996185303;-31,6499996185303;526,799987792969;112,199996948242;10,8999996185303;80,1999969482422;290,899993896484;38,2000007629395;290,899993896484;43,5999984741211;6,90000009536743;13;1731,30004882812;17,6499996185303;-35,4500007629395;53,0999984741211;12,1499996185303;-27,8500003814697;220,399993896484
324;97;5,44999980926514;17,6499996185303;-6,94999980926514;645,700012207031;79,8000030517578;30,7999992370605;28,8999996185303;228,100006103516;107,599998474121;228,100006103516;127,599998474121;7;20,7000007629395;964,700012207031;22,9500007629395;-10,8500003814697;33,7999992370605;17,6499996185303;-1,04999995231628;1015,5
303;100;6,05000019073486;15,8500003814697;-3,04999995231628;647,799987792969;82,3000030517578;33,9000015258789;29;226,300003051758;106,199996948242;226,300003051758;129,300003051758;6,80000019073486;24,2000007629395;735,299987792969;21,6499996185303;-6,44999980926514;28,1000003814697;15,8500003814697;0,449999988079071;1018,20001220703
325;125;5,55000019073486;17,75;-6,84999990463257;627,200012207031;79;30;30,7999992370605;223,899993896484;100,400001525879;223,899993896484;120,599998474121;6,90000009536743;20,3999996185303;961,400024414062;23,0499992370605;-10,75;33,7999992370605;17,75;-0,850000023841858;991,900024414062
334;52;12,25;17,8500003814697;4,84999990463257;2077,89990234375;644,400024414062;13,1000003814697;120,300003051758;1523,19995117188;103,800003051758;884,700012207031;159;10,6000003814697;41,7000007629395;523,099975585938;23,4500007629395;-1,85000002384186;25,2999992370605;16,8500003814697;8,44999980926514;1606,90002441406
335;85;23,9500007629395;30,0499992370605;15,6499996185303;1433,90002441406;461,100006103516;7,30000019073486;126,699996948242;1089,5;63,2000007629395;611,5;98;10,8000001907349;38,9000015258789;574,599975585938;36,5499992370605;8,64999961853027;27,8999996185303;28,1499996185303;16,3500003814697;1801,69995117188
174;129,3;-0,0500000007450581;17,3500003814697;-19,3500003814697;779,299987792969;196;6,69999980926514;97,6999969482422;490,700012207031;25,8999996185303;490,700012207031;25,8999996185303;10,3999996185303;20,5;1429,09997558594;22,75;-27,9500007629395;50,7000007629395;17,3500003814697;-19,3500003814697;632
325;125;5,55000019073486;17,75;-6,84999990463257;627,200012207031;79;30;30,7999992370605;223,899993896484;100,400001525879;223,899993896484;120,599998474121;6,90000009536743;20,3999996185303;961,400024414062;23,0499992370605;-10,75;33,7999992370605;17,75;-0,850000023841858;991,900024414062
324;121;5,44999980926514;17,6499996185303;-6,94999980926514;645,700012207031;79,8000030517578;30,7999992370605;28,8999996185303;228,100006103516;107,599998474121;228,100006103516;127,599998474121;7;20,7000007629395;964,700012207031;22,9500007629395;-10,8500003814697;33,7999992370605;17,6499996185303;-1,04999995231628;1015,5
